comparison_type,root,prompt_set_id,model_name,length_words,temperature_a,temperature_b,n_paired,mean_diff,median_diff,ci_low,ci_high,instance_set_id,temperature,length_a,length_b
temperature,longwiki-hybrid,00170110b1ca04c0867e923acb1552deafbb7ee919bb9c14438b935fc4b8fd01,grok-3-mini,500.0,0.25,0.5,444,0.0061143047794051195,0.0032342231828182966,-0.0045663889579059,0.01660330240865131,,,,
temperature,longwiki-hybrid,00170110b1ca04c0867e923acb1552deafbb7ee919bb9c14438b935fc4b8fd01,grok-3-mini,500.0,0.25,0.75,447,-0.005751665195761658,-0.0064102564102563875,-0.016073188385113048,0.004269806367684817,,,,
temperature,longwiki-hybrid,00170110b1ca04c0867e923acb1552deafbb7ee919bb9c14438b935fc4b8fd01,grok-3-mini,500.0,0.5,0.75,446,-0.012263093829945105,-0.0033499337847163746,-0.021968883686998807,-0.0016745052998499031,,,,
temperature,longwiki-hybrid,13d0543c5bf96f5c54aedb566fedce79c3e927a48aeddab16cf0ed0e1c27973a,grok-3-mini,1000.0,0.25,0.5,446,-0.01689985720797597,-0.011883368569415131,-0.02509204767564469,-0.008239654210820391,,,,
temperature,longwiki-hybrid,13d0543c5bf96f5c54aedb566fedce79c3e927a48aeddab16cf0ed0e1c27973a,grok-3-mini,1000.0,0.25,0.75,443,-0.00744639439685243,-0.0046275563516943174,-0.016109136728142598,0.0010794200585347929,,,,
temperature,longwiki-hybrid,13d0543c5bf96f5c54aedb566fedce79c3e927a48aeddab16cf0ed0e1c27973a,grok-3-mini,1000.0,0.5,0.75,444,0.009507332106532443,0.003850552802134921,0.00039271442180678363,0.018685219742055545,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.0,0.25,440,0.008857422052427595,0.0,-0.009246559255036252,0.026058416716845646,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.0,0.5,444,-0.0069379498690596815,0.0,-0.023941212981265593,0.00969316781145219,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.0,0.75,440,0.0030317398271896803,0.0,-0.01674325394521558,0.023567458567468776,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.25,0.5,441,-0.015878162586042285,-0.015873015873015817,-0.03380374120173847,0.0019585769909077713,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.25,0.75,438,-0.003053677562632247,0.0,-0.022941658530689985,0.01756076747697848,,,,
temperature,longwiki-hybrid,2bcffee1107589cd888a59a6a4a58aa6ecb9adc3366719a35ec658f30f1c97e7,grok-3-mini,50.0,0.5,0.75,441,0.011197054566108528,0.010526315789473717,-0.00761623047823458,0.029358615904066222,,,,
length,longwiki-hybrid,,grok-3-mini,,,,441,0.0808015107321751,0.06666666666666665,0.06476966880953804,0.09660873143695867,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.25,50.0,500.0
length,longwiki-hybrid,,grok-3-mini,,,,441,0.1251234441201107,0.1113445378151261,0.1087178420727445,0.14123330752916066,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.25,50.0,1000.0
length,longwiki-hybrid,,grok-3-mini,,,,446,0.043373351156370095,0.04080996550292726,0.033158763951377325,0.05339571460943774,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.25,500.0,1000.0
length,longwiki-hybrid,,grok-3-mini,,,,444,0.10199316104336623,0.09551738583996644,0.08590608128105255,0.11685544271176888,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.5,50.0,500.0
length,longwiki-hybrid,,grok-3-mini,,,,445,0.1220761195244733,0.11764705882352944,0.10842263555356838,0.13591220121179662,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.5,50.0,1000.0
length,longwiki-hybrid,,grok-3-mini,,,,445,0.019921161822794017,0.02734463276836152,0.009103639312965123,0.030448446288519667,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.5,500.0,1000.0
length,longwiki-hybrid,,grok-3-mini,,,,443,0.07786405825769376,0.05263157894736836,0.0596845783152296,0.09577205505519212,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.75,50.0,500.0
length,longwiki-hybrid,,grok-3-mini,,,,442,0.12021784610265099,0.10375891713919883,0.10189440900145581,0.13834870256393442,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.75,50.0,1000.0
length,longwiki-hybrid,,grok-3-mini,,,,445,0.04212988575878716,0.03867883528900473,0.03242191063052223,0.05210612028074573,1d83077de4766b1030ef5a379f5582cae80088989edf976371c0c707af734893,0.75,500.0,1000.0
